Wavelength Global Direct Diffuse
929 0.05105 0.21458 0.01379
930 0.04022 0.16916 0.01084
931 0.03029 0.12747 0.00815
932 0.02197 0.09253 0.00590
933 0.01601 0.06745 0.00429
934 0.01191 0.05024 0.00319
935 0.01031 0.04349 0.00276
936 0.01095 0.04622 0.00292
937 0.01387 0.05860 0.00370
938 0.01799 0.07602 0.00479
939 0.02315 0.09788 0.00615
940 0.02694 0.11400 0.00715
941 0.02763 0.11699 0.00732
942 0.02562 0.10855 0.00677
943 0.02466 0.10455 0.00651
944 0.02178 0.09236 0.00574
945 0.02073 0.08795 0.00545
946 0.02095 0.08895 0.00550
947 0.02201 0.09352 0.00577
948 0.02397 0.10191 0.00628
949 0.02566 0.10914 0.00671
950 0.02700 0.11491 0.00705
951 0.02825 0.12030 0.00736
952 0.02907 0.12387 0.00756
953 0.02977 0.12693 0.00773
954 0.03113 0.13278 0.00807
955 0.03079 0.13140 0.00797
956 0.03495 0.14924 0.00903
957 0.03758 0.16057 0.00970
958 0.04053 0.17327 0.01044
959 0.04248 0.18169 0.01093
960 0.04354 0.18633 0.01118
961 0.04449 0.19052 0.01141
962 0.04611 0.19756 0.01181
963 0.04787 0.20519 0.01224
964 0.05050 0.21658 0.01289
965 0.05548 0.23809 0.01414
966 0.05899 0.25330 0.01501
967 0.06702 0.28792 0.01702
968 0.07263 0.31220 0.01842
969 0.07858 0.33796 0.01990
970 0.08243 0.35469 0.02084
971 0.08301 0.35736 0.02095
972 0.08279 0.35660 0.02086
973 0.07999 0.34474 0.02013
974 0.07676 0.33101 0.01928
975 0.07602 0.32796 0.01907
976 0.07738 0.33402 0.01938
977 0.07728 0.33378 0.01932
978 0.08171 0.35306 0.02040
979 0.08238 0.35616 0.02054
980 0.08699 0.37629 0.02165
981 0.09098 0.39373 0.02261
982 0.09389 0.40655 0.02330
983 0.09712 0.42074 0.02406
984 0.10010 0.43389 0.02476
985 0.10354 0.44902 0.02557
986 0.10560 0.45816 0.02604
987 0.10946 0.47518 0.02695
988 0.10995 0.47754 0.02703
989 0.10986 0.47736 0.02696
990 0.11166 0.48542 0.02736
991 0.11337 0.49313 0.02774
992 0.11307 0.49205 0.02762
993 0.11377 0.49537 0.02775
994 0.11503 0.50107 0.02802
995 0.11453 0.49914 0.02785
996 0.11470 0.50014 0.02785
997 0.11477 0.50071 0.02783
998 0.11394 0.49731 0.02758
999 0.11307 0.49375 0.02733
1000 0.11155 0.48734 0.02692
1001 0.11171 0.48830 0.02692
1002 0.11111 0.48588 0.02673
1003 0.10959 0.47949 0.02633
1004 0.10866 0.47566 0.02607
1005 0.10131 0.44368 0.02427
1006 0.10653 0.46674 0.02548
1007 0.10821 0.47435 0.02584
